dr_no,date_occ,date_rptd,time_occ,lat,lon
200122537,2020-12-19T00:00:00.000,2020-12-19T00:00:00.000,0840,34.0423,-118.2718
202007334,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,0700,34.04,-118.2962
200122599,2020-12-20T00:00:00.000,2020-12-21T00:00:00.000,1615,34.0401,-118.2684
200308457,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,1920,34.0064,-118.29
210310060,2021-05-09T00:00:00.000,2021-05-09T00:00:00.000,0940,34.0291,-118.3015
202007106,2020-03-06T00:00:00.000,2020-03-06T00:00:00.000,0740,34.04,-118.2864
200304032,2020-01-01T00:00:00.000,2020-01-01T00:00:00.000,0700,34.0109,-118.2915
200321991,2020-12-20T00:00:00.000,2020-12-20T00:00:00.000,1515,34.0306,-118.2814
200322058,2020-12-21T00:00:00.000,2020-12-21T00:00:00.000,1540,34.0146,-118.2872
200322078,2020-12-21T00:00:00.000,2020-12-22T00:00:00.000,2255,34.0273,-118.2772
200322104,2020-12-22T00:00:00.000,2020-12-22T00:00:00.000,0730,34.0188,-118.282
200322134,2020-12-22T00:00:00.000,2020-12-22T00:00:00.000,1700,34.0276,-118.2748
200308293,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,0620,34.0109,-118.3002
201307777,2020-03-06T00:00:00.000,2020-03-06T00:00:00.000,1950,34.0187,-118.2726
201308009,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,1020,34.0141,-118.277
201208445,2020-03-04T00:00:00.000,2020-03-04T00:00:00.000,0840,34.0037,-118.3023
200322276,2020-12-26T00:00:00.000,2020-12-26T00:00:00.000,1310,34.0258,-118.2775
210309678,2021-05-01T00:00:00.000,2021-05-01T00:00:00.000,0700,34.0109,-118.3045
200308463,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,0400,34.0345,-118.2751
200308481,2020-03-13T00:00:00.000,2020-03-13T00:00:00.000,0955,34.0073,-118.298
200308341,2020-02-28T00:00:00.000,2020-03-11T00:00:00.000,0750,34.0082,-118.3002
201307861,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,0731,34.0112,-118.2728
190323301,2019-10-23T00:00:00.000,2019-10-23T00:00:00.000,2230,34.0277,-118.2749
190324001,2019-11-04T00:00:00.000,2019-11-04T00:00:00.000,2130,34.0112,-118.2827
200308450,2020-03-09T00:00:00.000,2020-03-11T00:00:00.000,1530,34.0282,-118.276
202007242,2020-03-05T00:00:00.000,2020-03-05T00:00:00.000,1855,34.04,-118.3008
200308305,2020-03-07T00:00:00.000,2020-03-09T00:00:00.000,2220,34.0282,-118.276
200308134,2020-03-05T00:00:00.000,2020-03-07T00:00:00.000,1800,34.0073,-118.298
200207532,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,0810,34.0416,-118.2791
200308194,2020-03-06T00:00:00.000,2020-03-07T00:00:00.000,1130,34.0327,-118.3002
200120150,2020-10-28T00:00:00.000,2020-10-28T00:00:00.000,0645,34.0423,-118.2718
200308304,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,0530,34.0132,-118.2959
200308345,2020-03-10T00:00:00.000,2020-03-11T00:00:00.000,1530,34.0182,-118.2958
202009922,2020-05-20T00:00:00.000,2020-05-20T00:00:00.000,0045,34.039,-118.2962
200311900,2020-05-24T00:00:00.000,2020-05-24T00:00:00.000,1930,34.0145,-118.3045
200319447,2020-10-26T00:00:00.000,2020-10-26T00:00:00.000,1730,34.0245,-118.2767
200319487,2020-10-26T00:00:00.000,2020-10-26T00:00:00.000,1030,34.0109,-118.2915
200319521,2020-10-28T00:00:00.000,2020-10-28T00:00:00.000,1825,34.0291,-118.3002
200319522,2020-10-28T00:00:00.000,2020-10-28T00:00:00.000,1200,34.0305,-118.3002
200319523,2020-10-28T00:00:00.000,2020-10-28T00:00:00.000,1510,34.0055,-118.2959
200319301,2020-10-23T00:00:00.000,2020-10-24T00:00:00.000,2145,34.021,-118.3002
